pos,Property Name,Price,HouseType,Areainsqft,NoofBedrooms,NoofBathrooms,NoofReceptions,Location,City/County,PostalCode,lat,long,n_pois,distance_to_london,District_x,NCrime,DisToHospital,DisToSubway,DisToShool,HouseTypeLabel,Postcode,District_y,PostalCodeLabel
1352.0,Bishops Gate,2000000.0,New development,1688.0,4.0,4.0,4.0,82-88 Fulham High Street,London,SW6 3LF,51.469856,-0.210732,1423.0,7.824038646573639,Hammersmith and Fulham,24060.0,1.9125265676524736,0.2371774967244561,1.8906725680846503,5,SW6 3LF,Hammersmith and Fulham,139946
1479.0,Bishops Gate,2000000.0,New development,1693.0,4.0,4.0,4.0,82-88 Fulham High Street,London,SW6 3LF,51.469856,-0.210732,398.0,7.824038646573639,Hammersmith and Fulham,24060.0,1.9125265676524736,0.2371774967244561,1.8906725680846503,5,SW6 3LF,Hammersmith and Fulham,139946
1528.0,Bishops Gate,2100000.0,New development,1688.0,4.0,4.0,4.0,82-88 Fulham High Street,London,SW6 3LF,51.469856,-0.210732,415.0,7.824038646573639,Hammersmith and Fulham,24060.0,1.9125265676524736,0.2371774967244561,1.8906725680846503,5,SW6 3LF,Hammersmith and Fulham,139946
1545.0,Bishops Gate,1850000.0,New development,1462.0,3.0,3.0,3.0,82-88 Fulham High Street,London,SW6 3LF,51.469856,-0.210732,3514.0,7.824038646573639,Hammersmith and Fulham,24060.0,1.9125265676524736,0.2371774967244561,1.8906725680846503,5,SW6 3LF,Hammersmith and Fulham,139946
1575.0,Bishops Gate,1425000.0,New development,1063.0,2.0,2.0,2.0,82-88 Fulham High Street,London,SW6 3LF,51.469856,-0.210732,965.0,7.824038646573639,Hammersmith and Fulham,24060.0,1.9125265676524736,0.2371774967244561,1.8906725680846503,5,SW6 3LF,Hammersmith and Fulham,139946
8.0,Adam & Eve Mews,2500000.0,House,1308.0,3.0,3.0,3.0,,London,W8 6UG,51.499423,-0.194326,3474.0,5.419182219342418,Kensington and Chelsea,25843.0,0.5143175997666053,0.1915658386141717,0.9666856129823714,3,W8 6UG,Kensington and Chelsea,175958
9.0,Hornton Street,925000.0,Flat / Apartment,646.0,2.0,2.0,2.0,,London,W8 4NT,51.502446,-0.194409,3531.0,5.362682909865978,Kensington and Chelsea,25843.0,0.8370942428081654,0.2341907136201538,1.1905626144029982,2,W8 4NT,Kensington and Chelsea,175590
10.0,Drakefield Road,2400000.0,House,3392.0,6.0,6.0,6.0,,London,SW17 8RR,51.434711,-0.153833,463.0,8.722425098147962,Wandsworth,27388.0,1.5666489553744205,0.4260544983967359,3.093883983016444,3,SW17 8RR,Wandsworth,129944
116.0,Drakefield Road,2500000.0,House,3986.0,6.0,6.0,6.0,,London,SW17 8RR,51.434711,-0.153833,611.0,8.722425098147962,Wandsworth,27388.0,1.5666489553744205,0.4260544983967359,3.093883983016444,3,SW17 8RR,Wandsworth,129944
11.0,Cromwell Avenue,2500000.0,House,2974.0,6.0,6.0,6.0,Highgate,London,N6 5HQ,51.570263,-0.141795,615.0,6.918096861737914,Haringey,33042.0,0.4446902657924482,1.525091091004774,1.200385609759815,3,N6 5HQ,Haringey,75083
